Date,HedgeIndex Main Index,HedgeIndex Convertible Arbitrage Composite Index,HedgeIndex Convertible Arbitrage Index,HedgeIndex Equity Market Neutral Composite Index,HedgeIndex Equity Market Neutral Index,HedgeIndex Event Driven Composite Index,HedgeIndex Event Driven Index,HedgeIndex Fixed Income Arbitrage Composite Index,HedgeIndex Fixed Income Arbitrage Index,HedgeIndex Global Macro Composite Index,HedgeIndex Global Macro Index,HedgeIndex Long/Short Equity Composite Index,HedgeIndex Long/Short Equity Index,HedgeIndex Managed Futures Composite Index,HedgeIndex Managed Futures Index,HedgeIndex Multi-Strategy Composite Index,HedgeIndex Multi-Strategy Index
2018-04,502.84,112.26,390.58,81.82,232.29,135.54,540.04,76.23,285.89,103.21,809.61,141.53,609.97,137.48,240.70,128.63,483.04
2018-05,503.12,110.62,387.41,81.55,229.18,136.57,541.73,75.26,282.90,102.65,820.67,142.60,610.98,134.91,237.42,129.23,483.76
2018-06,500.86,109.56,385.08,80.88,228.44,137.26,544.05,74.81,282.75,101.12,815.72,140.30,603.58,135.00,240.30,130.25,483.09
2018-07,501.42,109.44,385.70,80.16,227.86,137.39,546.09,74.85,283.24,100.61,815.24,140.28,610.72,132.28,236.99,129.45,480.25
2018-08,500.84,109.02,383.37,80.68,227.62,137.71,545.71,74.60,283.41,98.71,807.32,139.51,609.55,137.01,242.38,129.44,482.49
2018-09,500.24,109.11,385.85,80.18,226.28,137.75,545.77,74.59,283.38,99.47,808.35,139.19,608.54,135.14,240.12,129.72,484.36
2018-10,485.68,107.32,379.35,76.92,220.81,135.32,529.06,73.66,281.92,90.03,794.67,132.34,578.91,129.53,230.90,128.14,473.62
2018-11,481.61,106.54,377.93,73.61,210.76,133.54,525.56,73.17,279.57,88.37,787.44,130.61,578.44,128.45,228.03,127.02,466.13
2018-12,474.68,104.89,370.44,75.11,213.41,128.95,507.87,72.82,277.51,87.43,787.73,127.80,562.84,130.46,229.25,127.02,462.35
2019-01,481.77,107.16,380.05,76.64,215.82,131.21,519.28,73.43,279.77,91.44,793.90,132.39,581.19,127.56,224.39,127.74,465.57
2019-02,485.78,107.94,381.36,75.82,215.75,131.11,526.41,73.54,281.17,91.25,791.96,134.00,588.18,129.06,225.06,127.24,468.13
2019-03,489.89,107.60,381.51,75.97,217.17,131.03,529.03,73.10,281.41,95.95,802.16,134.02,588.44,136.25,234.91,127.98,472.68
2019-04,495.16,108.24,384.65,74.01,211.35,132.29,537.50,73.14,281.60,96.89,811.11,135.90,597.59,140.57,240.54,129.02,476.28
